category_major_cd,category_major_name,category_medium_cd,category_medium_name,category_small_cd,category_small_name
4,惣菜,401,御飯類,40101,弁当類
4,惣菜,401,御飯類,40102,寿司類
4,惣菜,402,佃煮類,40201,魚介佃煮類
4,惣菜,402,佃煮類,40202,海草佃煮類
4,惣菜,402,佃煮類,40203,野菜佃煮類
4,惣菜,402,佃煮類,40204,豆佃煮類
4,惣菜,403,サラダ類,40301,サラダ類
4,惣菜,404,和風惣菜,40401,炒め・煮物類
4,惣菜,404,和風惣菜,40402,和え物
4,惣菜,404,和風惣菜,40403,酢の物
4,惣菜,404,和風惣菜,40404,その他和風惣菜
4,惣菜,405,フライ物,40501,フライ物
4,惣菜,405,フライ物,40502,唐揚げ類
4,惣菜,405,フライ物,40503,天麩羅類
4,惣菜,405,フライ物,40504,チキンロースト類
4,惣菜,406,洋風惣菜,40601,グラタン・ピザ類
4,惣菜,406,洋風惣菜,40602,スナック類
4,惣菜,406,洋風惣菜,40603,その他洋風惣菜
4,惣菜,407,中華惣菜,40701,中華惣菜
4,惣菜,408,焼き物,40801,うなぎ蒲焼
4,惣菜,408,焼き物,40802,その他やきもの
4,惣菜,413,その他,41302,その他
5,和日配,501,水物,50101,豆腐
5,和日配,501,水物,50102,油揚げ・がんも
5,和日配,501,水物,50103,コンニャク
5,和日配,501,水物,50104,その他水物
5,和日配,502,漬物,50201,ぬか漬け
5,和日配,502,漬物,50202,塩漬け
5,和日配,502,漬物,50203,醤油漬け
5,和日配,502,漬物,50204,粕漬け
5,和日配,502,漬物,50205,酢漬け
5,和日配,502,漬物,50206,味噌漬け
5,和日配,502,漬物,50207,その他漬物
5,和日配,503,生麺,50301,生うどん
5,和日配,503,生麺,50302,生そば
5,和日配,503,生麺,50303,生ラーメン
5,和日配,503,生麺,50304,生パスタ
5,和日配,503,生麺,50305,その他
5,和日配,504,練物,50401,赤板
5,和日配,504,練物,50402,野焼
5,和日配,504,練物,50403,竹輪
5,和日配,504,練物,50404,揚げ物
5,和日配,504,練物,50405,はんぺん
5,和日配,504,練物,50406,その他蒲鉾
5,和日配,504,練物,50407,調理練り製品
5,和日配,505,冷凍食品,50501,冷凍野菜
5,和日配,505,冷凍食品,50502,惣菜冷凍食品
5,和日配,505,冷凍食品,50503,スナック冷凍食品
5,和日配,505,冷凍食品,50504,米飯冷凍食品
5,和日配,505,冷凍食品,50505,麺類冷凍食品
5,和日配,505,冷凍食品,50506,その他冷凍食品
5,和日配,506,卵,50601,普通卵
5,和日配,506,卵,50602,特殊卵
5,和日配,506,卵,50603,その他
5,和日配,507,その他和日配,50701,納豆
